Transaction ID,Approved Transactions,Arrival Time,Exit Probability,Agent ID,Cumulative Weight Multi-Agent,Exit Probability Multi-Agent,Confirmation Confidence Multi-Agent
30,[28],27.57528593546933,0,1,"{0: 1, 1: 1, 2: 1, 3: 1}","{0: 2.567842791101993e-37, 1: 2.9698190676871134e-37, 2: 2.5836993299419237e-37, 3: 2.567842791101993e-37}",{}
31,"[28, 27]",28.021738444682313,0,3,"{1: 169, 0: 169, 2: 169, 3: 169}","{0: 0.7187321088919368, 1: 0.7222299896277641, 2: 0.7188700878846682, 3: 0.7187321088919368}",{}
32,"[29, 23]",29.987332830033118,0,0,"{1: 165, 0: 165, 2: 165, 3: 165}","{0: 0.18144358362204052, 1: 0.17745988415374994, 2: 0.1812864408028618, 3: 0.18144358362204052}",{}
33,[31],30.254828878447167,0,1,"{1: 166, 0: 165, 2: 165, 3: 165}","{0: 0.7187321088919368, 1: 0.7222299896277641, 2: 0.7188700878846682, 3: 0.7187321088919368}",{}
34,[31],31.07427984446674,0,0,"{2: 1, 3: 1, 1: 1, 0: 1}","{0: 2.8944548001069222e-36, 1: 1.76411950548311e-36, 2: 2.8950104646624422e-36, 3: 2.8944548001069222e-36}",{}
35,[31],31.414830798914757,0,2,"{2: 1, 3: 1, 1: 1, 0: 1}","{0: 2.8944548001069222e-36, 1: 1.76411950548311e-36, 2: 2.8950104646624422e-36, 3: 2.8944548001069222e-36}",{}
36,"[29, 33]",31.864598560044183,0,1,"{2: 164, 0: 164, 1: 164, 3: 164}","{0: 0.459190361931991, 1: 0.461425121032368, 2: 0.4592785152548041, 3: 0.459190361931991}",{}
37,"[33, 32]",32.5876114238054,0,1,"{2: 164, 0: 164, 1: 164, 3: 164}","{0: 0.540809638068009, 1: 0.538574878967632, 2: 0.5407214847451959, 3: 0.540809638068009}",{}
38,"[37, 36]",36.060809355136,0,2,"{3: 163, 0: 163, 1: 163, 2: 163}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0}",{}
39,[38],38.69193649928585,0,3,"{1: 158, 2: 158, 0: 158, 3: 158}","{0: 0.18242552380635632, 1: 0.18242552380635632, 2: 0.18242552380635632, 3: 0.18242552380635632}",{}
40,[38],40.305438171771314,0,2,"{1: 161, 0: 161, 2: 161, 3: 161}","{0: 0.8175744761936437, 1: 0.8175744761936437, 2: 0.8175744761936437, 3: 0.8175744761936437}",{}
41,[40],46.44751373607977,0,1,"{2: 160, 0: 160, 1: 160, 3: 160}","{0: 0.8175744761936437, 1: 0.8175744761936437, 2: 0.8175744761936437, 3: 0.8175744761936437}",{}
42,[41],51.12591057281486,0,2,"{0: 153, 1: 153, 2: 153, 3: 153}","{0: 0.0814497518810498, 1: 0.0814497518810498, 2: 0.0814497518810498, 3: 0.0814497518810498}",{}
