1,0.8258500936109151,0.0005016999784857035,41,[],[0]
2,1.1073857485521243,0.0008863999973982573,36,[],[0]
3,1.468067659581122,0.0012642000219784677,31,[],[0]
4,2.247753262564591,0.0014646999770775437,47,[],[0]
5,2.738433656877697,0.001936499960720539,6,[],[0]
6,3.545648537488896,0.0022899999748915434,46,[],"[1, 3]"
7,3.7304482896631526,0.002603700035251677,31,[],[3]
8,4.148051047569814,0.0029815000016242266,38,[],[3]
9,6.362515178508755,0.0037022000178694725,19,[],"[8, 7]"
10,7.016643804892061,0.004004300048109144,6,[],"[6, 4]"
11,7.692484835609447,0.00411729997722432,9,[],[4]
12,9.304972693912362,0.004348299989942461,5,[],"[10, 9]"
13,10.403381232521154,0.0050540000083856285,25,[],"[10, 9]"
14,10.965428446388364,0.005182299995794892,17,[],[10]
15,11.250124096507776,0.005592299974523485,35,[],"[10, 9]"
16,11.986895489206995,0.005853299982845783,48,[],[12]
17,15.649499327327066,0.006387499975971878,46,[],"[16, 14]"
18,16.129560960145223,0.006827100005466491,6,[],[16]
19,16.967712705903406,0.0067343999980948865,40,[],"[16, 14]"
20,18.420566175843,0.0074001000029966235,18,[],[18]
21,19.1383992222026,0.007452199992258102,1,[],"[15, 18]"
22,20.53497782786532,0.008288500015623868,35,[],[19]
23,23.062231794659358,0.008476999995764345,36,[],"[20, 13]"
24,26.228853957033266,0.009443099959753454,24,[],"[21, 23]"
25,26.82795810333908,0.009036100003868341,33,[],"[21, 17]"
26,26.989465956597265,0.009657900023739785,44,[],"[23, 21]"
27,27.015438824641922,0.010066599992569536,45,[],[23]
28,27.31903798945443,0.01023790001636371,14,[],[21]
29,27.53816570145111,0.010405600012745708,3,[],"[17, 21]"
30,27.829249217654542,0.011147299956064671,16,[],[21]
31,27.950384823287962,0.011489199998322874,3,[],[21]
32,29.7474019372554,0.012042300018947572,16,[],"[29, 25]"
33,30.454020281004244,0.012599100009538233,9,[],"[31, 25]"
34,30.78827293942568,0.012815700029022992,48,[],[25]
35,31.185353501792356,0.013108299986924976,43,[],"[30, 25]"
36,32.71619930971267,0.013458699977491051,27,[],"[27, 33]"
37,33.03275848892461,0.014195900002960116,6,[],[33]
